Join Time,Leave Time,id
02-01-2024 12:13,02-01-2024 13:12,82832
02-01-2024 08:48,02-01-2024 08:48,82881
02-01-2024 08:48,02-01-2024 08:48,82796
02-01-2024 08:48,02-01-2024 08:48,82778
02-01-2024 08:48,02-01-2024 08:48,82664
02-01-2024 08:48,02-01-2024 08:48,82936
02-01-2024 08:48,02-01-2024 08:48,82992
02-01-2024 08:48,02-01-2024 13:09,82778
02-01-2024 08:48,02-01-2024 11:24,82664
02-01-2024 08:48,02-01-2024 09:36,82881
02-01-2024 08:48,02-01-2024 12:55,82796
02-01-2024 08:48,02-01-2024 13:10,82992
02-01-2024 08:48,02-01-2024 13:12,82936
02-01-2024 08:49,02-01-2024 08:50,82966
02-01-2024 08:49,02-01-2024 08:50,82962
02-01-2024 08:49,02-01-2024 08:50,82761
02-01-2024 08:50,02-01-2024 11:07,82962
02-01-2024 08:50,02-01-2024 12:58,82966
02-01-2024 08:50,02-01-2024 13:05,82761
02-01-2024 08:51,02-01-2024 08:51,83009
02-01-2024 08:51,02-01-2024 13:12,83009
02-01-2024 08:51,02-01-2024 08:51,82885
02-01-2024 08:51,02-01-2024 08:51,82953
02-01-2024 08:51,02-01-2024 11:56,82953
02-01-2024 08:51,02-01-2024 13:07,82885
02-01-2024 08:52,02-01-2024 08:52,83013
02-01-2024 08:52,02-01-2024 08:52,82786
02-01-2024 08:52,02-01-2024 09:10,83013
02-01-2024 08:52,02-01-2024 10:05,82786
02-01-2024 08:53,02-01-2024 08:53,82875
02-01-2024 08:53,02-01-2024 12:43,82875
02-01-2024 08:53,02-01-2024 08:55,82896
02-01-2024 08:54,02-01-2024 08:54,82985
02-01-2024 08:54,02-01-2024 08:54,82908
02-01-2024 08:54,02-01-2024 12:55,82985
02-01-2024 08:54,02-01-2024 13:12,82908
02-01-2024 08:54,02-01-2024 08:54,82893
02-01-2024 08:54,02-01-2024 13:05,82893
02-01-2024 08:55,02-01-2024 08:55,82741
02-01-2024 08:55,02-01-2024 08:55,82957
02-01-2024 08:55,02-01-2024 08:55,82779
02-01-2024 08:55,02-01-2024 08:55,82898
02-01-2024 08:55,02-01-2024 10:11,82779
02-01-2024 08:55,02-01-2024 08:55,82736
02-01-2024 08:55,02-01-2024 12:59,82741
02-01-2024 08:55,02-01-2024 12:15,82957
02-01-2024 08:55,02-01-2024 13:04,82736
02-01-2024 08:55,02-01-2024 08:55,83106
02-01-2024 08:55,02-01-2024 12:58,82898
02-01-2024 08:55,02-01-2024 08:55,82973
02-01-2024 08:55,02-01-2024 13:05,82973
02-01-2024 08:55,02-01-2024 08:56,82988
02-01-2024 08:55,02-01-2024 09:21,83106
02-01-2024 08:55,02-01-2024 08:56,82825
02-01-2024 08:56,02-01-2024 12:55,82988
02-01-2024 08:56,02-01-2024 09:20,82825
02-01-2024 08:56,02-01-2024 08:56,82748
02-01-2024 08:56,02-01-2024 08:56,82917
02-01-2024 08:56,02-01-2024 08:56,82801
02-01-2024 08:56,02-01-2024 10:11,82917
02-01-2024 08:56,02-01-2024 13:12,82748
02-01-2024 08:56,02-01-2024 09:06,82801
02-01-2024 08:57,02-01-2024 08:59,82946
02-01-2024 08:57,02-01-2024 08:59,82977
02-01-2024 08:57,02-01-2024 08:58,82932
02-01-2024 08:58,02-01-2024 13:08,82896
02-01-2024 08:58,02-01-2024 08:59,82867
02-01-2024 08:58,02-01-2024 08:59,82708
02-01-2024 08:58,02-01-2024 08:59,82999
02-01-2024 08:58,02-01-2024 08:59,82861
02-01-2024 08:58,02-01-2024 08:59,82947
02-01-2024 08:58,02-01-2024 08:59,83034
02-01-2024 08:59,02-01-2024 08:59,82932
02-01-2024 08:59,02-01-2024 13:08,82708
02-01-2024 08:59,02-01-2024 13:06,82977
02-01-2024 08:59,02-01-2024 11:13,82999
02-01-2024 08:59,02-01-2024 09:07,82946
02-01-2024 08:59,02-01-2024 10:27,82947
02-01-2024 08:59,02-01-2024 12:14,82867
02-01-2024 08:59,02-01-2024 12:32,82932
02-01-2024 08:59,02-01-2024 13:12,82861
02-01-2024 08:59,02-01-2024 12:58,83034
02-01-2024 08:59,02-01-2024 08:59,82848
02-01-2024 08:59,02-01-2024 08:59,82926
02-01-2024 08:59,02-01-2024 13:10,82848
02-01-2024 08:59,02-01-2024 13:09,82926
02-01-2024 08:59,02-01-2024 09:00,82785
02-01-2024 09:00,02-01-2024 09:00,82911
02-01-2024 09:00,02-01-2024 11:48,82785
02-01-2024 09:00,02-01-2024 12:37,82911
02-01-2024 09:00,02-01-2024 09:01,82998
02-01-2024 09:00,02-01-2024 09:01,82630
02-01-2024 09:01,02-01-2024 09:01,80676
02-01-2024 09:01,02-01-2024 13:10,82998
02-01-2024 09:01,02-01-2024 11:04,80676
02-01-2024 09:01,02-01-2024 11:25,82630
02-01-2024 09:01,02-01-2024 09:02,82703
02-01-2024 09:01,02-01-2024 09:02,82713
02-01-2024 09:02,02-01-2024 09:02,83046
02-01-2024 09:02,02-01-2024 13:07,83046
02-01-2024 09:02,02-01-2024 13:12,82703
02-01-2024 09:02,02-01-2024 12:55,82713
02-01-2024 09:02,02-01-2024 09:03,82657
02-01-2024 09:02,02-01-2024 09:03,82934
02-01-2024 09:03,02-01-2024 13:04,82657
02-01-2024 09:03,02-01-2024 11:05,82934
02-01-2024 09:03,02-01-2024 09:04,82803
02-01-2024 09:03,02-01-2024 09:03,82832
02-01-2024 09:03,02-01-2024 12:12,82832
02-01-2024 09:04,02-01-2024 09:36,82803
02-01-2024 09:04,02-01-2024 09:04,83080
02-01-2024 09:04,02-01-2024 09:09,83080
02-01-2024 09:04,02-01-2024 09:04,83027
02-01-2024 09:04,02-01-2024 11:12,83027
02-01-2024 09:04,02-01-2024 09:04,82975
02-01-2024 09:04,02-01-2024 09:05,83005
02-01-2024 09:05,02-01-2024 09:52,82975
02-01-2024 09:05,02-01-2024 10:50,83005
02-01-2024 09:06,02-01-2024 09:06,82793
02-01-2024 09:06,02-01-2024 11:04,82793
02-01-2024 09:10,02-01-2024 09:50,83013
02-01-2024 09:18,02-01-2024 09:18,83045
02-01-2024 09:18,02-01-2024 13:12,83045
02-01-2024 09:26,02-01-2024 09:26,82827
02-01-2024 09:26,02-01-2024 13:10,82827
02-01-2024 09:29,02-01-2024 09:29,82991
02-01-2024 09:29,02-01-2024 10:09,82991
02-01-2024 09:37,02-01-2024 09:37,82803
02-01-2024 09:37,02-01-2024 09:53,82803
02-01-2024 09:48,02-01-2024 09:48,82652
02-01-2024 09:48,02-01-2024 10:12,82652
02-01-2024 09:49,02-01-2024 09:49,82654
02-01-2024 09:49,02-01-2024 10:32,82654
02-01-2024 09:50,02-01-2024 11:00,83013
02-01-2024 10:09,02-01-2024 11:03,82991
02-01-2024 10:11,02-01-2024 11:12,82917
02-01-2024 10:20,02-01-2024 13:10,82786
02-01-2024 10:41,02-01-2024 10:41,83049
02-01-2024 10:41,02-01-2024 11:39,83049
02-01-2024 11:03,02-01-2024 11:03,83013
02-01-2024 11:03,02-01-2024 11:05,83013
02-01-2024 11:07,02-01-2024 13:12,82962
02-01-2024 11:12,02-01-2024 11:26,82917
02-01-2024 11:15,02-01-2024 12:05,82991
02-01-2024 11:24,02-01-2024 11:24,80676
02-01-2024 11:24,02-01-2024 13:08,82664
02-01-2024 11:24,02-01-2024 13:12,80676
02-01-2024 11:25,02-01-2024 11:25,82793
02-01-2024 11:25,02-01-2024 13:03,82793
02-01-2024 11:26,02-01-2024 11:26,83013
02-01-2024 11:26,02-01-2024 13:12,83013
02-01-2024 11:27,02-01-2024 11:28,82917
02-01-2024 11:28,02-01-2024 11:28,83005
02-01-2024 11:28,02-01-2024 12:37,83005
02-01-2024 11:29,02-01-2024 11:30,82999
02-01-2024 11:30,02-01-2024 13:05,82999
02-01-2024 11:31,02-01-2024 11:31,82934
02-01-2024 11:31,02-01-2024 12:58,82934
02-01-2024 11:40,02-01-2024 11:40,82630
02-01-2024 11:40,02-01-2024 12:00,82630
02-01-2024 11:45,02-01-2024 11:45,82654
02-01-2024 11:45,02-01-2024 12:38,82654
02-01-2024 11:58,02-01-2024 11:58,82953
02-01-2024 11:58,02-01-2024 13:12,82953
02-01-2024 12:05,02-01-2024 13:04,82991
02-01-2024 12:15,02-01-2024 12:17,82957
02-01-2024 12:20,02-01-2024 12:20,82957
02-01-2024 12:20,02-01-2024 13:05,82957
02-01-2024 13:09,02-01-2024 13:09,82736
02-01-2024 13:09,02-01-2024 13:12,82736
02-01-2024 13:11,02-01-2024 13:11,83046
02-01-2024 13:11,02-01-2024 13:12,83046
02-01-2024 09:10,02-01-2024 13:02,83080
02-01-2024 10:05,02-01-2024 10:20,82786
02-01-2024 11:04,02-01-2024 11:15,82991
02-01-2024 11:28,02-01-2024 13:12,82917
02-01-2024 12:33,02-01-2024 13:04,82932
01/30/2024 08:47:21 AM,01/30/2024 12:52:34 PM,82361485586
01/30/2024 10:42:05 AM,01/30/2024 12:51:19 PM,82796
01/30/2024 11:53:13 AM,01/30/2024 12:52:37 PM,82832
01/30/2024 08:47:28 AM,01/30/2024 08:47:53 AM,82825
01/30/2024 08:47:28 AM,01/30/2024 08:47:53 AM,82953
01/30/2024 08:47:29 AM,01/30/2024 08:47:53 AM,82861
01/30/2024 08:47:30 AM,01/30/2024 08:47:53 AM,82778
01/30/2024 08:47:32 AM,01/30/2024 08:47:51 AM,82875
01/30/2024 08:47:41 AM,01/30/2024 08:47:59 AM,82992
01/30/2024 08:47:51 AM,01/30/2024 12:52:34 PM,82875
01/30/2024 08:47:53 AM,01/30/2024 12:52:33 PM,82778
01/30/2024 08:47:54 AM,01/30/2024 12:52:34 PM,82953
01/30/2024 08:47:54 AM,01/30/2024 12:52:34 PM,82861
01/30/2024 08:47:54 AM,01/30/2024 12:52:34 PM,82825
01/30/2024 08:47:59 AM,01/30/2024 10:28:09 AM,82992
01/30/2024 08:48:17 AM,01/30/2024 08:48:51 AM,82893
01/30/2024 08:48:51 AM,01/30/2024 12:52:33 PM,82893
01/30/2024 08:49:33 AM,01/30/2024 12:52:34 PM,82962
01/30/2024 08:49:51 AM,01/30/2024 12:52:34 PM,82761
01/30/2024 08:50:25 AM,01/30/2024 08:51:05 AM,82906
01/30/2024 08:50:28 AM,01/30/2024 08:50:59 AM,83024
01/30/2024 08:50:50 AM,01/30/2024 08:51:06 AM,82885
01/30/2024 08:50:57 AM,01/30/2024 08:51:03 AM,827974
01/30/2024 08:51:00 AM,01/30/2024 11:11:41 AM,83024
01/30/2024 08:51:03 AM,01/30/2024 12:52:33 PM,827974
01/30/2024 08:51:06 AM,01/30/2024 11:39:59 AM,82906
01/30/2024 08:51:07 AM,01/30/2024 12:52:34 PM,82885
01/30/2024 08:51:44 AM,01/30/2024 08:51:58 AM,82708
01/30/2024 08:51:45 AM,01/30/2024 08:52:01 AM,82978
01/30/2024 08:51:51 AM,01/30/2024 08:51:58 AM,83046
01/30/2024 08:51:58 AM,01/30/2024 12:52:33 PM,83046
